FEN;move;first_eval;is_capture;move_impact
r1bqk1nr/pppp1ppp/2n5/b7/2B1P3/2p2N2/P4PPP/RNBQ1RK1 w kq - 0 8;e4e5;False;62;177
r2qk2r/ppp2ppp/2npbn2/2b1p1B1/2B1P3/2NP4/PPP1NPPP/R2Q1RK1 b kq - 5 7;d8d7;False;-13;89
2kr1b1r/ppp2ppp/2n5/4P3/3P2bq/2P2N2/P1PBK1PP/R2Q1B1R b - - 2 10;g4f3;True;291;177
r1b1k1nr/ppppqppp/2n5/4P3/1bB5/1Qp2N2/P4PPP/RNB2RK1 w kq - 3 10;c1g5;False;181;77
2kr1b1r/ppp2ppp/2n5/4P3/3P3q/2P2P2/P1PBK2P/R2Q1B1R b - - 0 11;c6e5;True;178;200
r1bqk1nr/ppp2ppp/1b6/3Pp3/2B1P3/8/P4PPP/RNBQ1RK1 w kq - 0 11;c1b2;False;52;52
r3k2r/pppqnppp/3p1n2/2bPp1B1/2B5/2NP4/PPP2PPP/R2Q1RK1 b kq - 2 10;c5d4;False;-16;87
r1bqk1nr/ppp3pp/1b3p2/3Pp3/2B1P3/8/PB3PPP/RN1Q1RK1 w kq - 0 12;g1h1;False;114;51
r2q1rk1/1ppb2p1/p2b1n1p/3P1p2/P1BPp3/2N2P2/1PP3PP/R1BQ1RK1 b - - 0 12;d8e8;False;44;70
r1bqk2r/ppp3pp/1b3p1n/3Pp3/2B1P3/8/PB3PPP/RN1Q1R1K w kq - 2 13;f2f4;False;55;103
2kr3r/ppp2ppp/8/2b1P3/8/2q2P2/P1PB3P/1R1KQB1R b - - 1 15;c3f3;True;413;114
r1b1k2r/ppppnpq1/2n4p/4P1p1/2B5/2Q2NB1/P4PPP/3R1RK1 w kq - 2 16;f1e1;False;122;76
r4rk1/1p1b2p1/p2p1nqp/3P4/P1BPp3/2N5/1PP1Q1PP/R4RK1 b - - 1 16;a8e8;False;17;54
4rrk1/1p1b2p1/p2p1nqp/3P4/P1BPpR2/2N5/1PP1Q1PP/R5K1 b - - 3 17;e8e7;False;2;59
r1b1k2r/ppppnpq1/2n5/4P2p/2B4p/2Q2NB1/P4PP1/3RR1K1 w kq - 0 18;f3h4;True;255;136
5rk1/1p1br1p1/p2p1nqp/3P4/P1BPpR2/2N5/1PP1Q1PP/4R1K1 b - - 5 18;f8e8;False;-14;52
r1bq1k1r/ppp3pp/1b6/3Pp2Q/2B1P3/8/PB4PP/RN5K w - - 2 17;d5d6;False;583;243
r1b1k1r1/ppppnpq1/2n5/4P2p/2B4N/2Q3B1/P4PP1/3RR1K1 w q - 1 19;c3f3;False;177;71
r4k1r/1pp1n2p/1b1p2q1/p2Ppp2/P1B2p2/2PP4/1P1N1PPP/R2Q1R1K b - - 1 20;h7h5;False;141;83
4r1k1/1p1br1p1/p2p2qp/3P3n/P1BPp2R/2N5/1PP2QPP/4R1K1 b - - 9 20;e7f7;False;81;60
r1bqk1nr/ppp2ppp/2np4/2b1p3/2BPP3/2P2N2/P4PPP/RNBQ1RK1 b kq - 0 7;e5d4;True;50;85
4r1k1/1p1b1rp1/p2p1nqp/3P4/P1BPp2R/2N4P/1PPQ2P1/4R1K1 b - - 0 22;g6g5;False;187;238
r6r/1pp1n1k1/1b1p2q1/p2Ppp1p/P1BP1p2/2P2Q2/1P1N1PPP/R4R1K b - - 0 22;g6g4;False;86;77
4r1k1/1p1b1rp1/p2p1n1p/3P2q1/P1BPpQ1R/2N4P/1PP3P1/4R1K1 b - - 2 23;f6h7;False;-2;172
r1b1r1k1/b1pq1ppp/p7/1p1Np1B1/4P3/7P/PQB2PP1/R4RK1 w - - 0 21;g1h2;False;382;245
r2qk1nr/ppp2ppp/1bnp4/4P3/2BP2b1/B4N2/P4PPP/RN1Q1RK1 b kq - 0 10;d6e5;True;157;185
4r1k1/1p1br1p1/p2p3p/3P2n1/P2P1R2/1PNBp3/2P3P1/4R1K1 b - - 0 29;g5h7;False;-84;102
r6r/1pp3k1/1b4n1/p2P1p1p/P3ppq1/2P4Q/BP1N1PPP/4RR1K b - - 1 26;f4f3;False;342;147
2kr3r/ppp2Qpp/3b4/8/1q1P1B2/5P2/PPP4P/2KR3R w - - 1 17;f4d6;True;135;65
2k4r/ppp2Qpp/3r4/8/1q1P4/5P2/PPP4P/2KR3R w - - 0 18;f7g7;True;248;96
4r1k1/1p1br1p1/p2p1n1p/3P4/P1PP1R2/1P1Bp3/6P1/3NR1K1 b - - 0 31;f6g4;False;33;189
2kr4/ppp3Qp/3r4/8/1q1P4/5P2/PPP4P/2KR3R w - - 1 19;c2c3;False;166;68
2kr3r/ppp2ppp/1b5n/1N6/3q4/BQ6/P4PPP/4RRK1 b - - 5 19;d4h4;False;304;289
2kr4/ppp2ppp/1b5n/1N6/5q2/1Q5P/P4PP1/4RRK1 b - - 0 22;d8d2;False;-5;141
r1bqk1nr/ppp2ppp/1b6/3Pp3/2B1P3/8/P4PPP/RNBQ1RK1 w kq - 0 11;c1b2;False;99;99
2k5/ppR2ppp/1b5n/1N6/5q2/1Q5P/P4rP1/5RK1 b - - 0 24;b6c7;True;557;557
r6r/pppkq1p1/1bnpNn1p/4p3/3PP3/1QP4P/PP3PP1/RNB2RK1 b - - 0 12;e5d4;True;81;73
r6r/pppkq1p1/1bnp1n1p/8/3NP3/1QP4P/PP3PP1/RNB2RK1 b - - 0 13;c6d4;True;19;77
r6r/pppkq1p1/1b1p1n1p/8/3PP3/1Q5P/PP3PP1/RNB2RK1 b - - 0 14;e7e4;True;-28;50
r6r/pppk2p1/1b1p1n1p/8/3Pq3/1QN4P/PP3PP1/R1B2RK1 b - - 1 15;e4d4;True;-67;151
r1bqk2r/ppp2n1p/1b3pp1/3Pp2Q/2B1PP2/8/PB4PP/RN3R1K w kq - 0 15;h5e2;False;125;92
r6r/pppk1Qp1/1b1p1n1p/8/3q4/2N4P/PP3PP1/R1B2RK1 b - - 1 16;d7c6;False;-293;160
r1b1k1nr/ppppqppp/2n5/b7/2B1P3/1Qp2N2/P4PPP/RNB2RK1 w kq - 2 9;c1a3;False;133;85
2k5/p1p3RR/2r5/1p6/3P4/2P2r2/PP5P/1K6 w - - 2 29;h2h4;False;534;301
r1bqk2r/ppp2n1p/5pp1/2bPp3/2B1PP2/8/PB2Q1PP/RN3R1K w kq - 2 16;f4e5;True;285;182
